drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB04272,5.950701466672378e-06,5.225431836767462,27,Citric Acid,A09,"Digestives, incl. enzymes ",Q13547,HDAC1,ENSG00000116478,DB04272|Q13547,,
DB01411,5.403241820413637e-06,5.267345595310865,28,Pranlukast,R03,Drugs for obstructive airway diseases ,Q13547,HDAC1,ENSG00000116478,DB01411|Q13547,,
DB00755,5.384236329339959e-06,5.268875885954265,29,Tretinoin,D10,Anti-acne preparations ,Q13547,HDAC1,ENSG00000116478,DB00755|Q13547,,
DB00755,5.384236329339959e-06,5.268875885954265,29,Tretinoin,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB00755|Q13547,,
DB04464,5.210908849055661e-06,5.283086523589788,30,,,,Q13547,HDAC1,ENSG00000116478,DB04464|Q13547,,
DB13751,5.025413022855705e-06,5.298828239146109,31,Glycyrrhizin,A05,Bile and liver therapy ,Q13547,HDAC1,ENSG00000116478,DB13751|Q13547,,
DB12816,4.977192058911787e-06,5.303015600462273,32,,,,Q13547,HDAC1,ENSG00000116478,DB12816|Q13547,,
DB05767,4.717450662750079e-06,5.326292633188985,33,,,,Q13547,HDAC1,ENSG00000116478,DB05767|Q13547,,
DB08814,4.368269796236337e-06,5.359690546265269,34,Triflusal,B01,Antithrombotic agents ,Q13547,HDAC1,ENSG00000116478,DB08814|Q13547,,
DB14059,4.282389577072513e-06,5.368313826654655,35,,,,Q13547,HDAC1,ENSG00000116478,DB14059|Q13547,,
DB05487,4.242568114004518e-06,5.372371176400072,36,,,,Q13547,HDAC1,ENSG00000116478,DB05487|Q13547,,
DB14038,4.13319341373769e-06,5.383714271332469,37,,,,Q13547,HDAC1,ENSG00000116478,DB14038|Q13547,,
DB05464,4.084154020085369e-06,5.388897888325603,38,,,,Q13547,HDAC1,ENSG00000116478,DB05464|Q13547,,
DB05559,4.084154020085369e-06,5.388897888325603,38,,,,Q13547,HDAC1,ENSG00000116478,DB05559|Q13547,,
DB05451,4.084154020085369e-06,5.388897888325603,38,,,,Q13547,HDAC1,ENSG00000116478,DB05451|Q13547,,
DB05212,4.084154020085369e-06,5.388897888325603,38,,,,Q13547,HDAC1,ENSG00000116478,DB05212|Q13547,,
DB05471,4.084154020085369e-06,5.388897888325603,38,,,,Q13547,HDAC1,ENSG00000116478,DB05471|Q13547,,
DB02546,4.07058839824608e-06,5.390342809536034,43,Vorinostat,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB02546|Q13547,target_negativeEffect,inhibitor
DB01262,4.049631030363446e-06,5.392584544384561,44,Decitabine,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB01262|Q13547,target_negativeEffect,inhibitor
DB06176,3.994185821043323e-06,5.398571734363542,45,Romidepsin,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB06176|Q13547,target_negativeEffect,"antagonist, inhibitor"
DB06819,3.66980038118106e-06,5.435357558556998,46,,,,Q13547,HDAC1,ENSG00000116478,DB06819|Q13547,target_negativeEffect,inhibitor
DB01169,3.608271675371176e-06,5.442700770832786,47,,,,Q13547,HDAC1,ENSG00000116478,DB01169|Q13547,,
DB05289,3.5941264304453767e-06,5.444406649798272,48,,,,Q13547,HDAC1,ENSG00000116478,DB05289|Q13547,,
DB04998,3.5941264304453767e-06,5.444406649798272,48,,,,Q13547,HDAC1,ENSG00000116478,DB04998|Q13547,,
DB12847,3.508963300415411e-06,5.454821173964823,50,,,,Q13547,HDAC1,ENSG00000116478,DB12847|Q13547,target_negativeEffect,inhibitor
DB12645,3.508963300415411e-06,5.454821173964823,50,,,,Q13547,HDAC1,ENSG00000116478,DB12645|Q13547,target_negativeEffect,inhibitor
DB12565,3.508963300415411e-06,5.454821173964823,50,,,,Q13547,HDAC1,ENSG00000116478,DB12565|Q13547,target_negativeEffect,inhibitor
DB05015,3.508963300415411e-06,5.454821173964823,50,Belinostat,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB05015|Q13547,target_negativeEffect,inhibitor
DB06603,3.508963300415411e-06,5.454821173964823,50,Panobinostat,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB06603|Q13547,target_negativeEffect,inhibitor
DB11841,3.508963300415411e-06,5.454821173964823,50,Entinostat,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB11841|Q13547,target_negativeEffect,inhibitor
DB00227,3.5047835324661738e-06,5.455338800395926,56,Lovastatin,C10,Lipid modifying agents ,Q13547,HDAC1,ENSG00000116478,DB00227|Q13547,,
DB01076,2.7959048212710186e-06,5.553477617010891,57,Atorvastatin,C10,Lipid modifying agents ,Q13547,HDAC1,ENSG00000116478,DB01076|Q13547,,
DB00970,2.5991353840737256e-06,5.585171098327064,58,Dactinomycin,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB00970|Q13547,,
DB06334,2.5778578893582923e-06,5.588741027854864,59,,,,Q13547,HDAC1,ENSG00000116478,DB06334|Q13547,,
DB06769,2.568187937378688e-06,5.5903731982122205,60,Bendamustine,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB06769|Q13547,,
DB08868,2.4298777530566744e-06,5.614415575170576,61,,,,Q13547,HDAC1,ENSG00000116478,DB08868|Q13547,target_negativeEffect,inhibitor
DB05223,2.260686841021768e-06,5.645759593619086,62,,,,Q13547,HDAC1,ENSG00000116478,DB05223|Q13547,,
DB11830,2.1076986733071053e-06,5.676191477839964,63,,,,Q13547,HDAC1,ENSG00000116478,DB11830|Q13547,,
DB00061,1.940499620364189e-06,5.712086437888539,64,,,,Q13547,HDAC1,ENSG00000116478,DB00061|Q13547,,
DB03276,1.940499620364189e-06,5.712086437888539,64,,,,Q13547,HDAC1,ENSG00000116478,DB03276|Q13547,,
