Sample	drugstone_link	link_raw
Entry_and_Uncoating.dorsal_root_ganglia.domino	<a href=https://drugst.one/?id=3a25c5a35d5d43cf8c25098763a2f39c>Entry_and_Uncoating.dorsal_root_ganglia.domino</a>	https://drugst.one/?id=3a25c5a35d5d43cf8c25098763a2f39c
Entry_and_Uncoating.dorsal_root_ganglia.no_tool	<a href=https://drugst.one/?id=5540c5a6101d428a81a2deb78f2ad36d>Entry_and_Uncoating.dorsal_root_ganglia.no_tool</a>	https://drugst.one/?id=5540c5a6101d428a81a2deb78f2ad36d
Entry_and_Uncoating.dorsal_root_ganglia.robust	<a href=https://drugst.one/?id=3a949b571c754448a95af4dec1cc0359>Entry_and_Uncoating.dorsal_root_ganglia.robust</a>	https://drugst.one/?id=3a949b571c754448a95af4dec1cc0359
Entry_and_Uncoating.dorsal_root_ganglia.robust_bias_aware	<a href=https://drugst.one/?id=8034eca40b6a42e193aae5ee51182ea0>Entry_and_Uncoating.dorsal_root_ganglia.robust_bias_aware</a>	https://drugst.one/?id=8034eca40b6a42e193aae5ee51182ea0
Entry_and_Uncoating.dorsal_root_ganglia.rwr	<a href=https://drugst.one/?id=6f5add5b2ad94d7495cf6feeda6d2a89>Entry_and_Uncoating.dorsal_root_ganglia.rwr</a>	https://drugst.one/?id=6f5add5b2ad94d7495cf6feeda6d2a89
Entry_and_Uncoating.hypothalamus.diamond	<a href=https://drugst.one/?id=2d9ef000559141a1aa49a955eb4860be>Entry_and_Uncoating.hypothalamus.diamond</a>	https://drugst.one/?id=2d9ef000559141a1aa49a955eb4860be
Entry_and_Uncoating.hypothalamus.no_tool	<a href=https://drugst.one/?id=7c89ef04ee4445c3a4de2e1188d15f4e>Entry_and_Uncoating.hypothalamus.no_tool</a>	https://drugst.one/?id=7c89ef04ee4445c3a4de2e1188d15f4e
Entry_and_Uncoating.hypothalamus.robust	<a href=https://drugst.one/?id=25dbc65e964f4920bde0285f1425b47c>Entry_and_Uncoating.hypothalamus.robust</a>	https://drugst.one/?id=25dbc65e964f4920bde0285f1425b47c
Entry_and_Uncoating.hypothalamus.robust_bias_aware	<a href=https://drugst.one/?id=8c9682c70344456d88b88a6c5b25fde6>Entry_and_Uncoating.hypothalamus.robust_bias_aware</a>	https://drugst.one/?id=8c9682c70344456d88b88a6c5b25fde6
Entry_and_Uncoating.hypothalamus.rwr	<a href=https://drugst.one/?id=7a5b58486284487bafbdb89e9b10a1ed>Entry_and_Uncoating.hypothalamus.rwr</a>	https://drugst.one/?id=7a5b58486284487bafbdb89e9b10a1ed
Entry_and_Uncoating.salivary_gland.diamond	<a href=https://drugst.one/?id=ea1c8906edce433095f762b79a102d31>Entry_and_Uncoating.salivary_gland.diamond</a>	https://drugst.one/?id=ea1c8906edce433095f762b79a102d31
Entry_and_Uncoating.salivary_gland.domino	<a href=https://drugst.one/?id=d3e89547b1ce40e882a34af5da409f64>Entry_and_Uncoating.salivary_gland.domino</a>	https://drugst.one/?id=d3e89547b1ce40e882a34af5da409f64
Entry_and_Uncoating.salivary_gland.no_tool	<a href=https://drugst.one/?id=845ebb5711d04a628f846867cbabd9b6>Entry_and_Uncoating.salivary_gland.no_tool</a>	https://drugst.one/?id=845ebb5711d04a628f846867cbabd9b6
Entry_and_Uncoating.salivary_gland.robust	<a href=https://drugst.one/?id=794c570dac6d4ea69afc66a67ec76bad>Entry_and_Uncoating.salivary_gland.robust</a>	https://drugst.one/?id=794c570dac6d4ea69afc66a67ec76bad
Entry_and_Uncoating.salivary_gland.robust_bias_aware	<a href=https://drugst.one/?id=37146a0f1eb24bb9b6b81f0efc276f46>Entry_and_Uncoating.salivary_gland.robust_bias_aware</a>	https://drugst.one/?id=37146a0f1eb24bb9b6b81f0efc276f46
Entry_and_Uncoating.salivary_gland.rwr	<a href=https://drugst.one/?id=6ea7f29113024afdb18911f398c5693d>Entry_and_Uncoating.salivary_gland.rwr</a>	https://drugst.one/?id=6ea7f29113024afdb18911f398c5693d
Entry_and_Uncoating.uniprot_ppi.diamond	<a href=https://drugst.one/?id=6aeee221793e4cd1af1e870aecd600ad>Entry_and_Uncoating.uniprot_ppi.diamond</a>	https://drugst.one/?id=6aeee221793e4cd1af1e870aecd600ad
Entry_and_Uncoating.uniprot_ppi.domino	<a href=https://drugst.one/?id=644a965990e3418daa6b110ba1c48144>Entry_and_Uncoating.uniprot_ppi.domino</a>	https://drugst.one/?id=644a965990e3418daa6b110ba1c48144
Entry_and_Uncoating.uniprot_ppi.no_tool	<a href=https://drugst.one/?id=d76ecb655df74c728ebaa5f8bf3f568b>Entry_and_Uncoating.uniprot_ppi.no_tool</a>	https://drugst.one/?id=d76ecb655df74c728ebaa5f8bf3f568b
Entry_and_Uncoating.uniprot_ppi.robust	<a href=https://drugst.one/?id=4703e8698d014ef882759addd1605fed>Entry_and_Uncoating.uniprot_ppi.robust</a>	https://drugst.one/?id=4703e8698d014ef882759addd1605fed
Entry_and_Uncoating.uniprot_ppi.robust_bias_aware	<a href=https://drugst.one/?id=46a0ba3e41044a0ea17bc1f0af9c1998>Entry_and_Uncoating.uniprot_ppi.robust_bias_aware</a>	https://drugst.one/?id=46a0ba3e41044a0ea17bc1f0af9c1998
Entry_and_Uncoating.uniprot_ppi.rwr	<a href=https://drugst.one/?id=6ba79e0b8ae74f7aa2e8cc26871519b3>Entry_and_Uncoating.uniprot_ppi.rwr</a>	https://drugst.one/?id=6ba79e0b8ae74f7aa2e8cc26871519b3
