Module_id	drugstone_link	link_raw
Uncharacterized.uniprot_ppi.domino	<a href=https://drugst.one/?id=01a328ee477c4b22b15396cc2651b16d>Uncharacterized.uniprot_ppi.domino</a>	https://drugst.one/?id=01a328ee477c4b22b15396cc2651b16d
Uncharacterized.brain.robust_bias_aware	<a href=https://drugst.one/?id=c1aac33234214c2ebd5ee9c39051013c>Uncharacterized.brain.robust_bias_aware</a>	https://drugst.one/?id=c1aac33234214c2ebd5ee9c39051013c
Uncharacterized.uniprot_ppi.robust_bias_aware	<a href=https://drugst.one/?id=0169bce3224e4d7096090e5a806f4760>Uncharacterized.uniprot_ppi.robust_bias_aware</a>	https://drugst.one/?id=0169bce3224e4d7096090e5a806f4760
Uncharacterized.hypothalamus.domino	<a href=https://drugst.one/?id=13c2e682c1134cf088cd2192100ab50c>Uncharacterized.hypothalamus.domino</a>	https://drugst.one/?id=13c2e682c1134cf088cd2192100ab50c
Uncharacterized.dorsal_root_ganglia.domino	<a href=https://drugst.one/?id=18462f65f52f44db996762585f20304d>Uncharacterized.dorsal_root_ganglia.domino</a>	https://drugst.one/?id=18462f65f52f44db996762585f20304d
Uncharacterized.salivary_gland.diamond	<a href=https://drugst.one/?id=eb44dd1bcdcb48e5b06d51036b0cfbc8>Uncharacterized.salivary_gland.diamond</a>	https://drugst.one/?id=eb44dd1bcdcb48e5b06d51036b0cfbc8
Uncharacterized.amygdala.robust_bias_aware	<a href=https://drugst.one/?id=ff4b9b5c61eb48bbb25b37b3cd16cc08>Uncharacterized.amygdala.robust_bias_aware</a>	https://drugst.one/?id=ff4b9b5c61eb48bbb25b37b3cd16cc08
Uncharacterized.amygdala.domino	<a href=https://drugst.one/?id=d717661ff61a44cab81b13cd92052903>Uncharacterized.amygdala.domino</a>	https://drugst.one/?id=d717661ff61a44cab81b13cd92052903
Uncharacterized.salivary_gland.domino	<a href=https://drugst.one/?id=9952189ff9a8413aa40e9977c80a9066>Uncharacterized.salivary_gland.domino</a>	https://drugst.one/?id=9952189ff9a8413aa40e9977c80a9066
Uncharacterized.dorsal_root_ganglia.no_tool	<a href=https://drugst.one/?id=47a116f26a4f4eef8b0cc690b926dce4>Uncharacterized.dorsal_root_ganglia.no_tool</a>	https://drugst.one/?id=47a116f26a4f4eef8b0cc690b926dce4
