drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB01159,5.427739554490489e-05,4.2653809997671495,5,Halothane,N01,Anesthetics ,P34903,GABRA3,ENSG00000011677,DB01159|P34903,target_positiveEffect,positive allosteric modulator
DB01159,5.427739554490489e-05,4.2653809997671495,5,Halothane,N01,Anesthetics ,P07437,TUBB,ENSG00000196230,DB01159|P07437,,
DB00555,5.360075949095804e-05,4.270829056568512,6,Lamotrigine,N03,Antiepileptics ,P25101,EDNRA,ENSG00000151617,DB00555|P25101,,
DB00555,5.360075949095804e-05,4.270829056568512,6,Lamotrigine,N03,Antiepileptics ,P34903,GABRA3,ENSG00000011677,DB00555|P34903,target,"antagonist, inducer, inhibitor"
DB00555,5.360075949095804e-05,4.270829056568512,6,Lamotrigine,N03,Antiepileptics ,P07437,TUBB,ENSG00000196230,DB00555|P07437,,
DB01189,5.333531310904735e-05,4.272985151006674,7,Desflurane,N01,Anesthetics ,P25101,EDNRA,ENSG00000151617,DB01189|P25101,,
DB01189,5.333531310904735e-05,4.272985151006674,7,Desflurane,N01,Anesthetics ,P34903,GABRA3,ENSG00000011677,DB01189|P34903,target_positiveEffect,positive allosteric modulator
DB01189,5.333531310904735e-05,4.272985151006674,7,Desflurane,N01,Anesthetics ,P07437,TUBB,ENSG00000196230,DB01189|P07437,,
DB00237,5.325116209609429e-05,4.273670910210084,8,,,,P25101,EDNRA,ENSG00000151617,DB00237|P25101,,
DB00237,5.325116209609429e-05,4.273670910210084,8,,,,P34903,GABRA3,ENSG00000011677,DB00237|P34903,target_positiveEffect,positive allosteric modulator
DB00237,5.325116209609429e-05,4.273670910210084,8,,,,P07437,TUBB,ENSG00000196230,DB00237|P07437,,
DB01199,5.317754447856164e-05,4.274271720483804,9,Tubocurarine,M03,Muscle relaxants ,P25101,EDNRA,ENSG00000151617,DB01199|P25101,,
DB01199,5.317754447856164e-05,4.274271720483804,9,Tubocurarine,M03,Muscle relaxants ,P34903,GABRA3,ENSG00000011677,DB01199|P34903,,
DB01199,5.317754447856164e-05,4.274271720483804,9,Tubocurarine,M03,Muscle relaxants ,P07437,TUBB,ENSG00000196230,DB01199|P07437,,
DB00753,5.291227663207905e-05,4.276443551877919,10,Isoflurane,N01,Anesthetics ,P25101,EDNRA,ENSG00000151617,DB00753|P25101,,
DB00753,5.291227663207905e-05,4.276443551877919,10,Isoflurane,N01,Anesthetics ,P34903,GABRA3,ENSG00000011677,DB00753|P34903,target_positiveEffect,positive allosteric modulator
DB00753,5.291227663207905e-05,4.276443551877919,10,Isoflurane,N01,Anesthetics ,P07437,TUBB,ENSG00000196230,DB00753|P07437,,
DB01236,5.254226255652616e-05,4.279491229710255,11,Sevoflurane,N01,Anesthetics ,P25101,EDNRA,ENSG00000151617,DB01236|P25101,,
DB01236,5.254226255652616e-05,4.279491229710255,11,Sevoflurane,N01,Anesthetics ,P34903,GABRA3,ENSG00000011677,DB01236|P34903,target_positiveEffect,agonist
DB01236,5.254226255652616e-05,4.279491229710255,11,Sevoflurane,N01,Anesthetics ,P07437,TUBB,ENSG00000196230,DB01236|P07437,,
DB01043,5.17127314420672e-05,4.286402522392535,12,Memantine,N06,Psychoanaleptics ,P25101,EDNRA,ENSG00000151617,DB01043|P25101,,
DB01043,5.17127314420672e-05,4.286402522392535,12,Memantine,N06,Psychoanaleptics ,P34903,GABRA3,ENSG00000011677,DB01043|P34903,target,binder
DB01043,5.17127314420672e-05,4.286402522392535,12,Memantine,N06,Psychoanaleptics ,P07437,TUBB,ENSG00000196230,DB01043|P07437,,
DB00252,5.136132402800542e-05,4.289363789249076,13,Phenytoin,N03,Antiepileptics ,P25101,EDNRA,ENSG00000151617,DB00252|P25101,,
DB00252,5.136132402800542e-05,4.289363789249076,13,Phenytoin,N03,Antiepileptics ,P34903,GABRA3,ENSG00000011677,DB00252|P34903,,
DB00252,5.136132402800542e-05,4.289363789249076,13,Phenytoin,N03,Antiepileptics ,P07437,TUBB,ENSG00000196230,DB00252|P07437,,
DB00312,5.043768952866593e-05,4.297244815991369,14,Pentobarbital,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00312|P25101,,
DB00312,5.043768952866593e-05,4.297244815991369,14,Pentobarbital,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00312|P34903,target_positiveEffect,"potentiator, positive allosteric modulator"
DB00312,5.043768952866593e-05,4.297244815991369,14,Pentobarbital,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00312|P07437,,
DB01708,4.983415919512838e-05,4.302472864783326,15,Prasterone,A14,Anabolic agents for systemic use ,P25101,EDNRA,ENSG00000151617,DB01708|P25101,,
DB01708,4.983415919512838e-05,4.302472864783326,15,Prasterone,A14,Anabolic agents for systemic use ,P34903,GABRA3,ENSG00000011677,DB01708|P34903,target_negativeEffect,antagonist
DB01708,4.983415919512838e-05,4.302472864783326,15,Prasterone,A14,Anabolic agents for systemic use ,P07437,TUBB,ENSG00000196230,DB01708|P07437,,
DB01708,4.983415919512838e-05,4.302472864783326,15,Prasterone,G03,Sex hormones and modulators of the genital system,P25101,EDNRA,ENSG00000151617,DB01708|P25101,,
DB01708,4.983415919512838e-05,4.302472864783326,15,Prasterone,G03,Sex hormones and modulators of the genital system,P34903,GABRA3,ENSG00000011677,DB01708|P34903,target_negativeEffect,antagonist
DB01708,4.983415919512838e-05,4.302472864783326,15,Prasterone,G03,Sex hormones and modulators of the genital system,P07437,TUBB,ENSG00000196230,DB01708|P07437,,
DB00603,4.934362230114258e-05,4.306768972242827,16,,,,P25101,EDNRA,ENSG00000151617,DB00603|P25101,,
DB00603,4.934362230114258e-05,4.306768972242827,16,,,,P34903,GABRA3,ENSG00000011677,DB00603|P34903,target_negativeEffect,inhibitor
DB00603,4.934362230114258e-05,4.306768972242827,16,,,,P07437,TUBB,ENSG00000196230,DB00603|P07437,,
DB01118,4.9300015035746566e-05,4.307152948269611,17,Amiodarone,C01,Cardiac therapy ,P25101,EDNRA,ENSG00000151617,DB01118|P25101,,
DB01118,4.9300015035746566e-05,4.307152948269611,17,Amiodarone,C01,Cardiac therapy ,P34903,GABRA3,ENSG00000011677,DB01118|P34903,,
DB01118,4.9300015035746566e-05,4.307152948269611,17,Amiodarone,C01,Cardiac therapy ,P07437,TUBB,ENSG00000196230,DB01118|P07437,,
DB00818,4.905190226744514e-05,4.309344145710432,18,Propofol,N01,Anesthetics ,P25101,EDNRA,ENSG00000151617,DB00818|P25101,,
DB00818,4.905190226744514e-05,4.309344145710432,18,Propofol,N01,Anesthetics ,P34903,GABRA3,ENSG00000011677,DB00818|P34903,target_positiveEffect,positive allosteric modulator
DB00818,4.905190226744514e-05,4.309344145710432,18,Propofol,N01,Anesthetics ,P07437,TUBB,ENSG00000196230,DB00818|P07437,,
DB00306,4.8220650078751534e-05,4.316766939049574,19,Talbutal,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00306|P25101,,
DB00306,4.8220650078751534e-05,4.316766939049574,19,Talbutal,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00306|P34903,target_positiveEffect,"potentiator, positive allosteric modulator"
DB00306,4.8220650078751534e-05,4.316766939049574,19,Talbutal,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00306|P07437,,
DB00241,4.8220650078751534e-05,4.316766939049574,19,,,,P25101,EDNRA,ENSG00000151617,DB00241|P25101,,
DB00241,4.8220650078751534e-05,4.316766939049574,19,,,,P34903,GABRA3,ENSG00000011677,DB00241|P34903,target_positiveEffect,"potentiator, positive allosteric modulator"
DB00241,4.8220650078751534e-05,4.316766939049574,19,,,,P07437,TUBB,ENSG00000196230,DB00241|P07437,,
DB00794,4.8220650078751534e-05,4.316766939049574,19,Primidone,N03,Antiepileptics ,P25101,EDNRA,ENSG00000151617,DB00794|P25101,,
DB00794,4.8220650078751534e-05,4.316766939049574,19,Primidone,N03,Antiepileptics ,P34903,GABRA3,ENSG00000011677,DB00794|P34903,target_positiveEffect,"potentiator, positive allosteric modulator"
DB00794,4.8220650078751534e-05,4.316766939049574,19,Primidone,N03,Antiepileptics ,P07437,TUBB,ENSG00000196230,DB00794|P07437,,
DB00463,4.8220650078751534e-05,4.316766939049574,19,Metharbital,N03,Antiepileptics ,P25101,EDNRA,ENSG00000151617,DB00463|P25101,,
DB00463,4.8220650078751534e-05,4.316766939049574,19,Metharbital,N03,Antiepileptics ,P34903,GABRA3,ENSG00000011677,DB00463|P34903,target_positiveEffect,"potentiator, positive allosteric modulator"
DB00463,4.8220650078751534e-05,4.316766939049574,19,Metharbital,N03,Antiepileptics ,P07437,TUBB,ENSG00000196230,DB00463|P07437,,
DB01956,4.801619959315262e-05,4.318612216645467,23,,,,P25101,EDNRA,ENSG00000151617,DB01956|P25101,,
DB01956,4.801619959315262e-05,4.318612216645467,23,,,,P34903,GABRA3,ENSG00000011677,DB01956|P34903,target_positiveEffect,agonist
DB01956,4.801619959315262e-05,4.318612216645467,23,,,,P07437,TUBB,ENSG00000196230,DB01956|P07437,,
DB01028,4.796540760546679e-05,4.31907186058517,24,Methoxyflurane,N02,Analgesics,P25101,EDNRA,ENSG00000151617,DB01028|P25101,,
DB01028,4.796540760546679e-05,4.31907186058517,24,Methoxyflurane,N02,Analgesics,P34903,GABRA3,ENSG00000011677,DB01028|P34903,target_positiveEffect,positive allosteric modulator
DB01028,4.796540760546679e-05,4.31907186058517,24,Methoxyflurane,N02,Analgesics,P07437,TUBB,ENSG00000196230,DB01028|P07437,,
DB09118,4.789715079331191e-05,4.319690320229393,25,Stiripentol,N03,Antiepileptics ,P25101,EDNRA,ENSG00000151617,DB09118|P25101,,
DB09118,4.789715079331191e-05,4.319690320229393,25,Stiripentol,N03,Antiepileptics ,P34903,GABRA3,ENSG00000011677,DB09118|P34903,target_positiveEffect,"agonist, positive allosteric modulator"
DB09118,4.789715079331191e-05,4.319690320229393,25,Stiripentol,N03,Antiepileptics ,P07437,TUBB,ENSG00000196230,DB09118|P07437,,
DB00475,4.729516973534767e-05,4.325183211575152,26,Chlordiazepoxide,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00475|P25101,,
DB00475,4.729516973534767e-05,4.325183211575152,26,Chlordiazepoxide,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00475|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB00475,4.729516973534767e-05,4.325183211575152,26,Chlordiazepoxide,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00475|P07437,,
DB00279,4.728924749048122e-05,4.325237596818404,27,,,,P25101,EDNRA,ENSG00000151617,DB00279|P25101,,
DB00279,4.728924749048122e-05,4.325237596818404,27,,,,P34903,GABRA3,ENSG00000011677,DB00279|P34903,,
DB00279,4.728924749048122e-05,4.325237596818404,27,,,,P07437,TUBB,ENSG00000196230,DB00279|P07437,,
DB00829,4.728699413472341e-05,4.325258291655812,28,Diazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00829|P25101,,
DB00829,4.728699413472341e-05,4.325258291655812,28,Diazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00829|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB00829,4.728699413472341e-05,4.325258291655812,28,Diazepam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00829|P07437,,
DB00683,4.722311262293262e-05,4.325845390607305,29,Midazolam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00683|P25101,,
DB00683,4.722311262293262e-05,4.325845390607305,29,Midazolam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00683|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB00683,4.722311262293262e-05,4.325845390607305,29,Midazolam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00683|P07437,,
DB00292,4.718665824776615e-05,4.326180778239683,30,Etomidate,N01,Anesthetics ,P25101,EDNRA,ENSG00000151617,DB00292|P25101,,
DB00292,4.718665824776615e-05,4.326180778239683,30,Etomidate,N01,Anesthetics ,P34903,GABRA3,ENSG00000011677,DB00292|P34903,target_positiveEffect,positive allosteric modulator
DB00292,4.718665824776615e-05,4.326180778239683,30,Etomidate,N01,Anesthetics ,P07437,TUBB,ENSG00000196230,DB00292|P07437,,
DB00404,4.715689974178857e-05,4.326454754664566,31,Alprazolam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00404|P25101,,
DB00404,4.715689974178857e-05,4.326454754664566,31,Alprazolam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00404|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB00404,4.715689974178857e-05,4.326454754664566,31,Alprazolam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00404|P07437,,
DB11582,4.7106815640714656e-05,4.326916252509967,32,Thiocolchicoside,M03,Muscle relaxants ,P25101,EDNRA,ENSG00000151617,DB11582|P25101,,
DB11582,4.7106815640714656e-05,4.326916252509967,32,Thiocolchicoside,M03,Muscle relaxants ,P34903,GABRA3,ENSG00000011677,DB11582|P34903,target_negativeEffect,antagonist
DB11582,4.7106815640714656e-05,4.326916252509967,32,Thiocolchicoside,M03,Muscle relaxants ,P07437,TUBB,ENSG00000196230,DB11582|P07437,,
DB14028,4.706833268775564e-05,4.327271185533049,33,Nordazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB14028|P25101,,
DB14028,4.706833268775564e-05,4.327271185533049,33,Nordazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB14028|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB14028,4.706833268775564e-05,4.327271185533049,33,Nordazepam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB14028|P07437,,
DB00897,4.699314645348806e-05,4.327965475563568,34,Triazolam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00897|P25101,,
DB00897,4.699314645348806e-05,4.327965475563568,34,Triazolam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00897|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB00897,4.699314645348806e-05,4.327965475563568,34,Triazolam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00897|P07437,,
DB01154,4.668600552916353e-05,4.330813282866246,35,,,,P25101,EDNRA,ENSG00000151617,DB01154|P25101,,
DB01154,4.668600552916353e-05,4.330813282866246,35,,,,P34903,GABRA3,ENSG00000011677,DB01154|P34903,,
DB01154,4.668600552916353e-05,4.330813282866246,35,,,,P07437,TUBB,ENSG00000196230,DB01154|P07437,,
DB01595,4.652962246379303e-05,4.332270471269797,36,Nitrazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB01595|P25101,,
DB01595,4.652962246379303e-05,4.332270471269797,36,Nitrazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB01595|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB01595,4.652962246379303e-05,4.332270471269797,36,Nitrazepam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB01595|P07437,,
DB01068,4.650953449406235e-05,4.332458007245562,37,Clonazepam,N03,Antiepileptics ,P25101,EDNRA,ENSG00000151617,DB01068|P25101,,
DB01068,4.650953449406235e-05,4.332458007245562,37,Clonazepam,N03,Antiepileptics ,P34903,GABRA3,ENSG00000011677,DB01068|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB01068,4.650953449406235e-05,4.332458007245562,37,Clonazepam,N03,Antiepileptics ,P07437,TUBB,ENSG00000196230,DB01068|P07437,,
DB00371,4.646960507355298e-05,4.332831018399236,38,Meprobamate,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00371|P25101,,
DB00371,4.646960507355298e-05,4.332831018399236,38,Meprobamate,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00371|P34903,target_positiveEffect,"positive allosteric modulator, agonist"
DB00371,4.646960507355298e-05,4.332831018399236,38,Meprobamate,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00371|P07437,,
DB09017,4.6430975059285504e-05,4.333192195971543,39,Brotizolam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB09017|P25101,,
DB09017,4.6430975059285504e-05,4.333192195971543,39,Brotizolam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB09017|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB09017,4.6430975059285504e-05,4.333192195971543,39,Brotizolam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB09017|P07437,,
DB09166,4.6430975059285504e-05,4.333192195971543,39,Etizolam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB09166|P25101,,
DB09166,4.6430975059285504e-05,4.333192195971543,39,Etizolam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB09166|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB09166,4.6430975059285504e-05,4.333192195971543,39,Etizolam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB09166|P07437,,
DB00690,4.640013375933581e-05,4.333480767486979,41,Flurazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00690|P25101,,
DB00690,4.640013375933581e-05,4.333480767486979,41,Flurazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00690|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB00690,4.640013375933581e-05,4.333480767486979,41,Flurazepam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00690|P07437,,
DB00837,4.63961732552371e-05,4.333517838468185,42,Progabide,N03,Antiepileptics ,P25101,EDNRA,ENSG00000151617,DB00837|P25101,,
DB00837,4.63961732552371e-05,4.333517838468185,42,Progabide,N03,Antiepileptics ,P34903,GABRA3,ENSG00000011677,DB00837|P34903,,
DB00837,4.63961732552371e-05,4.333517838468185,42,Progabide,N03,Antiepileptics ,P07437,TUBB,ENSG00000196230,DB00837|P07437,,
DB00546,4.639009761509112e-05,4.333574713628022,43,Adinazolam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00546|P25101,,
DB00546,4.639009761509112e-05,4.333574713628022,43,Adinazolam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00546|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB00546,4.639009761509112e-05,4.333574713628022,43,Adinazolam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00546|P07437,,
DB00231,4.638530333511604e-05,4.333619599003205,44,Temazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00231|P25101,,
DB00231,4.638530333511604e-05,4.333619599003205,44,Temazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00231|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB00231,4.638530333511604e-05,4.333619599003205,44,Temazepam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00231|P07437,,
DB11901,4.636161298603314e-05,4.333841462726829,45,Apalutamide,L02,Endocrine therapy ,P25101,EDNRA,ENSG00000151617,DB11901|P25101,,
DB11901,4.636161298603314e-05,4.333841462726829,45,Apalutamide,L02,Endocrine therapy ,P34903,GABRA3,ENSG00000011677,DB11901|P34903,target_negativeEffect,antagonist
DB11901,4.636161298603314e-05,4.333841462726829,45,Apalutamide,L02,Endocrine therapy ,P07437,TUBB,ENSG00000196230,DB11901|P07437,,
DB01511,4.6196985316212846e-05,4.3353863643411,46,,,,P25101,EDNRA,ENSG00000151617,DB01511|P25101,,
DB01511,4.6196985316212846e-05,4.3353863643411,46,,,,P34903,GABRA3,ENSG00000011677,DB01511|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB01511,4.6196985316212846e-05,4.3353863643411,46,,,,P07437,TUBB,ENSG00000196230,DB01511|P07437,,
DB01489,4.6196985316212846e-05,4.3353863643411,46,Camazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB01489|P25101,,
DB01489,4.6196985316212846e-05,4.3353863643411,46,Camazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB01489|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB01489,4.6196985316212846e-05,4.3353863643411,46,Camazepam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB01489|P07437,,
DB01437,4.6196985316212846e-05,4.3353863643411,46,Glutethimide,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB01437|P25101,,
DB01437,4.6196985316212846e-05,4.3353863643411,46,Glutethimide,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB01437|P34903,target_positiveEffect,positive allosteric modulator
DB01437,4.6196985316212846e-05,4.3353863643411,46,Glutethimide,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB01437|P07437,,
DB00189,4.6196985316212846e-05,4.3353863643411,46,Ethchlorvynol,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00189|P25101,,
DB00189,4.6196985316212846e-05,4.3353863643411,46,Ethchlorvynol,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00189|P34903,target_positiveEffect,positive allosteric modulator
DB00189,4.6196985316212846e-05,4.3353863643411,46,Ethchlorvynol,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00189|P07437,,
DB00186,4.6196985316212846e-05,4.3353863643411,46,Lorazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB00186|P25101,,
DB00186,4.6196985316212846e-05,4.3353863643411,46,Lorazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB00186|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB00186,4.6196985316212846e-05,4.3353863643411,46,Lorazepam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00186|P07437,,
DB01553,4.6196985316212846e-05,4.3353863643411,46,Cloxazolam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB01553|P25101,,
DB01553,4.6196985316212846e-05,4.3353863643411,46,Cloxazolam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB01553|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB01553,4.6196985316212846e-05,4.3353863643411,46,Cloxazolam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB01553|P07437,,
DB01545,4.6196985316212846e-05,4.3353863643411,46,Ethyl loflazepate,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB01545|P25101,,
DB01545,4.6196985316212846e-05,4.3353863643411,46,Ethyl loflazepate,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB01545|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB01545,4.6196985316212846e-05,4.3353863643411,46,Ethyl loflazepate,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB01545|P07437,,
DB01544,4.6196985316212846e-05,4.3353863643411,46,Flunitrazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB01544|P25101,,
DB01544,4.6196985316212846e-05,4.3353863643411,46,Flunitrazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB01544|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB01544,4.6196985316212846e-05,4.3353863643411,46,Flunitrazepam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB01544|P07437,,
DB14719,4.6196985316212846e-05,4.3353863643411,46,Bentazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB14719|P25101,,
DB14719,4.6196985316212846e-05,4.3353863643411,46,Bentazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB14719|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB14719,4.6196985316212846e-05,4.3353863643411,46,Bentazepam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB14719|P07437,,
DB15489,4.6196985316212846e-05,4.3353863643411,46,Mexazolam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB15489|P25101,,
DB15489,4.6196985316212846e-05,4.3353863643411,46,Mexazolam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB15489|P34903,target_positiveEffect,"ligand, positive allosteric modulator"
DB15489,4.6196985316212846e-05,4.3353863643411,46,Mexazolam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB15489|P07437,,
DB15490,4.6196985316212846e-05,4.3353863643411,46,,,,P25101,EDNRA,ENSG00000151617,DB15490|P25101,,
DB15490,4.6196985316212846e-05,4.3353863643411,46,,,,P34903,GABRA3,ENSG00000011677,DB15490|P34903,,
DB15490,4.6196985316212846e-05,4.3353863643411,46,,,,P07437,TUBB,ENSG00000196230,DB15490|P07437,,
DB01588,4.6196985316212846e-05,4.3353863643411,46,Prazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB01588|P25101,,
DB01588,4.6196985316212846e-05,4.3353863643411,46,Prazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB01588|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
DB01588,4.6196985316212846e-05,4.3353863643411,46,Prazepam,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB01588|P07437,,
DB01589,4.6196985316212846e-05,4.3353863643411,46,Quazepam,N05,Psycholeptics ,P25101,EDNRA,ENSG00000151617,DB01589|P25101,,
DB01589,4.6196985316212846e-05,4.3353863643411,46,Quazepam,N05,Psycholeptics ,P34903,GABRA3,ENSG00000011677,DB01589|P34903,target_positiveEffect,"positive allosteric modulator, ligand"
