cmpdname,drugbank_id,atc_code,atc_label
Bifonazole,DB04794,D01,Antifungals for dermatological use 
Biperiden,DB00810,N04,Anti-parkinson drugs 
Bisacodyl,DB09020,A06,Drugs for constipation 
Bisacodyl,DB09020,A06,Drugs for constipation 
Bisoprolol,DB00612,C07,Beta blocking agents 
Bithionol,DB04813,D10,Anti-acne preparations 
Bithionol,DB04813,P02,Anthelmintics 
Brimonidine,DB00484,S01,Ophthalmologicals 
Brimonidine,DB00484,S01,Ophthalmologicals 
Bromazepam,DB01558,N05,Psycholeptics 
Bromhexine,DB09019,R05,Cough and cold preparations 
Bromazine,DB01237,R06,Antihistamines for systemic use 
Bromopride,DB09018,A03,Drugs for functional gastrointestinal disorders 
Bromisoval,DB13370,N05,Psycholeptics 
Bromperidol,DB12401,N05,Psycholeptics 
Seratrodast,DB06739,R03,Drugs for obstructive airway diseases
Brotizolam,DB09017,N05,Psycholeptics 
Broxyquinoline,DB13536,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Broxyquinoline,DB13536,G01,Gynecological antiinfectives and antiseptics 
Broxyquinoline,DB13536,P01,Antiprotozoals 
Bufexamac,DB13346,M01,Antiinflammatory and antirheumatic products 
Bufexamac,DB13346,M02,Topical products for joint and muscular pain 
Buflomedil,DB13510,C04,Peripheral vasodilators 
Buformin,DB04830,A10,Drugs used in diabetes 
Bumetanide,DB00887,C03,Diuretics 
Bupivacaine,DB00297,N01,Anesthetics 
Bupranolol,DB08808,C07,Beta blocking agents 
Buspirone,DB00490,N05,Psycholeptics 
Busulfan,DB01008,L01,Antineoplastic agents 
Butenafine,DB01091,D01,Antifungals for dermatological use 
Cadralazine,DB13452,C02,Antihypertensives 
Caffeine,DB00201,N06,Psychoanaleptics 
Verapamil,DB00661,C08,Calcium channel blockers 
Metrizoic acid,DB09346,V08,Contrast media 
Camostat,DB13729,B02,Antihemorrhagics 
Candesartan,DB13919,C09,Agents acting on the renin-angiotensin system 
Carbamazepine,DB00564,N03,Antiepileptics 
Carbazochrome,DB09012,B02,Antihemorrhagics 
Carbetapentane,DB11186,R05,Cough and cold preparations 
Carbinoxamine,DB00748,R06,Antihistamines for systemic use 
Carbazilquinone,DB13677,L01,Antineoplastic agents 
Carisoprodol,DB00395,M03,Muscle relaxants 
Carmofur,DB09010,L01,Antineoplastic agents 
Carmustine,DB00262,L01,Antineoplastic agents 
Carteolol,DB00521,C07,Beta blocking agents 
Carteolol,DB00521,S01,Ophthalmologicals 
Carvedilol,DB01136,C07,Beta blocking agents 
Celecoxib,DB00482,L01,Antineoplastic agents
Celecoxib,DB00482,M01,Antiinflammatory and antirheumatic products 
Celiprolol,DB04846,C07,Beta blocking agents 
Cetirizine,DB00341,R06,Antihistamines for systemic use 
Cetirizine,DB00341,S01,Ophthalmologicals 
Cetrimonium,DB01718,D08,Antiseptics and disinfectants 
Cetrimonium,DB01718,R02,Throat preparations 
Cetylpyridinium,DB11073,B05,Blood substitutes and perfusion solutions 
Cetylpyridinium,DB11073,D08,Antiseptics and disinfectants 
Cetylpyridinium,DB11073,D09,Medicated dressings 
Cetylpyridinium,DB11073,R02,Throat preparations 
Chloral Hydrate,DB01563,N05,Psycholeptics 
Chlorambucil,DB00291,L01,Antineoplastic agents 
Chlorcyclizine,DB08936,R06,Antihistamines for systemic use 
Chlordiazepoxide,DB00475,N05,Psycholeptics 
Chlormezanone,DB01178,M03,Muscle relaxants 
Chloroquine,DB00608,P01,Antiprotozoals 
Chlorothiazide,DB00880,C03,Diuretics 
Chloroxylenol,DB11121,D08,Antiseptics and disinfectants 
Chlorpheniramine,DB01114,R06,Antihistamines for systemic use 
Chlorpromazine,DB00477,N05,Psycholeptics 
Chlorpropamide,DB00672,A10,Drugs used in diabetes 
Chlorthalidone,DB00310,C03,Diuretics 
Chlorzoxazone,DB00356,M03,Muscle relaxants 
Cibenzoline,DB13358,C01,Cardiac therapy 
Ciclopirox,DB01188,D01,Antifungals for dermatological use 
Ciclopirox,DB01188,G01,Gynecological antiinfectives and antiseptics 
Cilostazol,DB01166,B01,Antithrombotic agents 
Cimetidine,DB00501,A02,Drugs for acid related disorders 
Eucalyptol,DB03852,R05,Cough and cold preparations 
Cinoxacin,DB00827,J01,Antibacterials for systemic use 
Ciprofibrate,DB09064,C10,Lipid modifying agents 
Ciprofloxacin,DB00537,J01,Antibacterials for systemic use 
Ciprofloxacin,DB00537,S01,Ophthalmologicals 
Ciprofloxacin,DB00537,S02,Otologicals 
Ciprofloxacin,DB00537,S03,Ophthalmological and otological preparations 
Citalopram,DB00215,N06,Psychoanaleptics 
Clebopride,DB13511,A03,Drugs for functional gastrointestinal disorders 
Clenbuterol,DB01407,R03,Drugs for obstructive airway diseases 
Clenbuterol,DB01407,R03,Drugs for obstructive airway diseases 
Clioquinol,DB04815,D08,Antiseptics and disinfectants 
Clioquinol,DB04815,D09,Medicated dressings 
Clioquinol,DB04815,G01,Gynecological antiinfectives and antiseptics 
Clioquinol,DB04815,P01,Antiprotozoals 
Clioquinol,DB04815,S02,Otologicals 
Clobazam,DB00349,N05,Psycholeptics 
Clofazimine,DB00845,J04,Antimycobacterials 
Clofedanol,DB04837,R05,Cough and cold preparations 
Clofibrate,DB00636,C10,Lipid modifying agents 
Clofoctol,DB13237,J01,Antibacterials for systemic use
Clomiphene,DB00882,G03,Sex hormones and modulators of the genital system 
Clomipramine,DB01242,N06,Psychoanaleptics 
Clonazepam,DB01068,N03,Antiepileptics 
Clonidine,DB00575,C02,Antihypertensives 
Clonidine,DB00575,N02,Analgesics 
Clonidine,DB00575,S01,Ophthalmologicals 
Cloperastine,DB09002,R05,Cough and cold preparations 
Clotiazepam,DB01559,N05,Psycholeptics 
Clotrimazole,DB00257,A01,Stomatological preparations 
Clotrimazole,DB00257,D01,Antifungals for dermatological use 
Clotrimazole,DB00257,G01,Gynecological antiinfectives and antiseptics 
Cloxazolam,DB01553,N05,Psycholeptics 
Cromolyn,DB01003,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Cromolyn,DB01003,D11,Other dermatological preparations 
Cromolyn,DB01003,R01,Nasal preparations 
Cromolyn,DB01003,R03,Drugs for obstructive airway diseases 
Cromolyn,DB01003,S01,Ophthalmologicals 
Cyclandelate,DB04838,C04,Peripheral vasodilators 
Cyclobenzaprine,DB00924,M03,Muscle relaxants 
Cyclofenil,DB13472,G03,Sex hormones and modulators of the genital system 
Cyclopenthiazide,DB13532,C03,Diuretics 
Cyclopentolate,DB00979,S01,Ophthalmologicals 
Cyclophosphamide,DB00531,L01,Antineoplastic agents 
Cyclothiazide,DB00606,C03,Diuretics 
Cypermethrin,DB13721,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Cyproheptadine,DB00434,R06,Antihistamines for systemic use 
Danthron,DB04816,A06,Drugs for constipation 
Dapsone,DB00250,J04,Antimycobacterials 
Dapsone,DB00250,D10,Anti-acne preparations 
Debrisoquin,DB04840,C02,Antihypertensives 
Deferiprone,DB08826,V03,All other therapeutic products 
Deferoxamine,DB00746,V03,All other therapeutic products 
Dequalinium,DB04209,D08,Antiseptics and disinfectants 
Dequalinium,DB04209,G01,Gynecological antiinfectives and antiseptics 
Dequalinium,DB04209,R02,Throat preparations 
Desipramine,DB01151,N06,Psychoanaleptics 
Nordazepam,DB14028,N05,Psycholeptics 
Amphetamine,DB00182,N06,Psychoanaleptics 
Eflornithine,DB06243,P01,Antiprotozoals 
Diazepam,DB00829,N05,Psycholeptics 
Diazoxide,DB01119,C02,Antihypertensives 
Diazoxide,DB01119,V03,All other therapeutic products 
Dibucaine,DB00527,C05,Vasoprotectives 
Dibucaine,DB00527,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Dibucaine,DB00527,N01,Anesthetics 
Dibucaine,DB00527,S01,Ophthalmologicals 
Dibucaine,DB00527,S02,Otologicals 
Dibutyl Phthalate,DB13716,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Diclofenac,DB00586,M01,Antiinflammatory and antirheumatic products 
Diclofenac,DB00586,M02,Topical products for joint and muscular pain 
Diclofenac,DB00586,S01,Ophthalmologicals 
Clofenotane,DB13424,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Dichlorophene,DB11396,P02,Anthelmintics 
Dichlorphenamide,DB01144,S01,Ophthalmologicals 
Dicyclomine,DB00804,A03,Drugs for functional gastrointestinal disorders 
Diethylcarbamazine,DB00711,P02,Anthelmintics 
Diflunisal,DB00861,N02,Analgesics 
Dilazep,DB13715,C01,Cardiac therapy 
Dimefline,DB13482,R07,Other respiratory system products 
Dimercaprol,DB06782,V03,All other therapeutic products 
Dimetotiazine,DB08967,N02,Analgesics 
Diphenhydramine,DB01075,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Diphenhydramine,DB01075,R06,Antihistamines for systemic use 
Diphenylpyraline,DB01146,R06,Antihistamines for systemic use 
Dipivefrin,DB00449,S01,Ophthalmologicals 
Dipyridamole,DB00975,B01,Antithrombotic agents 
Disopyramide,DB00280,C01,Cardiac therapy 
Distigmine,DB13694,N07,Other nervous system drugs 
Disulfiram,DB00822,N07,Other nervous system drugs 
Disulfiram,DB00822,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Valproic Acid,DB00313,N03,Antiepileptics 
Domiphen,DB11594,A01,Stomatological preparations 
Domperidone,DB01184,A03,Drugs for functional gastrointestinal disorders 
Donepezil,DB00843,N06,Psychoanaleptics 
Doxapram,DB00561,R07,Other respiratory system products 
Doxazosin,DB00590,C02,Antihypertensives 
Doxylamine,DB00366,R06,Antihistamines for systemic use 
Droperidol,DB00450,N05,Psycholeptics 
Dropropizine,DB13785,R05,Cough and cold preparations 
Dyclonine,DB00645,N01,Anesthetics 
Dyclonine,DB00645,R02,Throat preparations 
Dyphylline,DB00651,R03,Drugs for obstructive airway diseases 
Ebastine,DB11742,R06,Antihistamines for systemic use 
Econazole,DB01127,D01,Antifungals for dermatological use 
Econazole,DB01127,G01,Gynecological antiinfectives and antiseptics 
Edrophonium,DB01010,V04,Diagnostic agents
Emedastine,DB01084,S01,Ophthalmologicals 
Enflurane,DB00228,N01,Anesthetics 
Enoxacin,DB00467,J01,Antibacterials for systemic use 
Eperisone,DB08992,M03,Muscle relaxants 
Epinastine,DB00751,R06,Antihistamines for systemic use 
Epinastine,DB00751,S01,Ophthalmologicals 
Eprazinone,DB08990,R05,Cough and cold preparations 
Estazolam,DB01215,N05,Psycholeptics 
Etafenone,DB13845,C01,Cardiac therapy 
Ethacrynic acid,DB00903,C03,Diuretics 
Ethenzamide,DB13544,N02,Analgesics 
Diethyl Ether,DB13598,N01,Anesthetics 
Profenamine,DB00392,N04,Anti-parkinson drugs 
Ethosuximide,DB00593,N03,Antiepileptics 
Ethotoin,DB00754,N03,Antiepileptics 
Ethyl loflazepate,DB01545,N05,Psycholeptics 
Etidronic Acid,DB01077,M05,Drugs for treatment of bone diseases 
Etilefrine,DB08985,C01,Cardiac therapy 
Etizolam,DB09166,N05,Psycholeptics 
Etodolac,DB00749,M01,Antiinflammatory and antirheumatic products 
Famciclovir,DB00426,J05,Antivirals for systemic use 
Famciclovir,DB00426,S01,Ophthalmologicals 
Pepcid,DB00927,A02,Drugs for acid related disorders 
Felbamate,DB00949,N03,Antiepileptics 
Felbinac,DB07477,M02,Topical products for joint and muscular pain 
Felodipine,DB01023,C08,Calcium channel blockers 
Fenbendazole,DB11410,P02,Anthelmintics 
Fenbufen,DB08981,M01,Antiinflammatory and antirheumatic products 
Fendiline,DB08980,C08,Calcium channel blockers 
Fenfluramine,DB00574,A08,"Antiobesity preparations, excl. diet products "
Fenfluramine,DB00574,N03,Antiepileptics 
Fenofibrate,DB01039,C10,Lipid modifying agents 
Fenoldopam,DB00800,C01,Cardiac therapy 
Fenoprofen,DB00573,M01,Antiinflammatory and antirheumatic products 
Fenoterol,DB01288,G02,Other gynecologicals 
Fenoterol,DB01288,R03,Drugs for obstructive airway diseases 
Fenoterol,DB01288,R03,Drugs for obstructive airway diseases 
Fenspiride,DB08979,R03,Drugs for obstructive airway diseases
Fentanyl,DB00813,N01,Anesthetics 
Fentanyl,DB00813,N02,Analgesics 
Fexofenadine,DB00950,R06,Antihistamines for systemic use 
Fipexide,DB13790,N06,Psychoanaleptics 
Flavoxate,DB01148,G04,Urologicals 
Flecainide,DB01195,C01,Cardiac therapy 
Fleroxacin,DB04576,J01,Antibacterials for systemic use 
Floctafenine,DB08976,N02,Analgesics
Fluconazole,DB00196,J02,Antimycotics for systemic use 
Fluconazole,DB00196,D01,Antifungals for dermatological use 
Flucytosine,DB01099,D01,Antifungals for dermatological use 
Flucytosine,DB01099,J02,Antimycotics for systemic use 
Fludiazepam,DB01567,N05,Psycholeptics 
Flufenamic Acid,DB02266,M01,Antiinflammatory and antirheumatic products 
Fluphenazine,DB00623,N05,Psycholeptics 
Flumazenil,DB01205,V03,All other therapeutic products 
Flumequine,DB08972,J01,Antibacterials for systemic use 
Flunitrazepam,DB01544,N05,Psycholeptics 
Fluorouracil,DB00544,L01,Antineoplastic agents 
Fluoxetine,DB00472,N06,Psychoanaleptics 
Flurazepam,DB00690,N05,Psycholeptics 
Flurbiprofen,DB00712,M01,Antiinflammatory and antirheumatic products 
Flurbiprofen,DB00712,M02,Topical products for joint and muscular pain 
Flurbiprofen,DB00712,R02,Throat preparations 
Flurbiprofen,DB00712,S01,Ophthalmologicals 
Fluspirilene,DB04842,N05,Psycholeptics 
Flutamide,DB00499,L02,Endocrine therapy 
Flutrimazole,DB13425,D01,Antifungals for dermatological use 
Flutrimazole,DB13425,G01,Gynecological antiinfectives and antiseptics 
Fomepizole,DB01213,V03,All other therapeutic products 
Formoterol,DB00983,R03,Drugs for obstructive airway diseases 
Formoterol,DB00983,R03,Drugs for obstructive airway diseases 
Foscarnet,DB00529,J05,Antivirals for systemic use 
Furosemide,DB00695,C03,Diuretics 
Gabapentin,DB00996,N02,Analgesics 
Gemfibrozil,DB01241,C10,Lipid modifying agents 
Gentamicin,DB00798,D06,Antibiotics and chemotherapeutics for dermatological use 
Gentamicin,DB00798,J01,Antibacterials for systemic use 
Gentamicin,DB00798,S01,Ophthalmologicals 
Gentamicin,DB00798,S02,Otologicals 
Gentamicin,DB00798,S03,Ophthalmological and otological preparations 
Gliclazide,DB01120,A10,Drugs used in diabetes 
Glimepiride,DB00222,A10,Drugs used in diabetes 
Glipizide,DB01067,A10,Drugs used in diabetes 
Glutethimide,DB01437,N05,Psycholeptics 
Glyburide,DB01016,A10,Drugs used in diabetes 
Glycopyrronium bromide,DB00986,D11,Other dermatological preparations 
Guaiazulene,DB13329,S01,Ophthalmologicals
Guaifenesin,DB00874,R05,Cough and cold preparations 
Guanethidine,DB01170,C02,Antihypertensives 
Guanethidine,DB01170,S01,Ophthalmologicals 
Guanfacine,DB01018,C02,Antihypertensives 
Fasudil,DB08162,C04,Peripheral vasodilators 
Haloperidol,DB00502,N05,Psycholeptics 
Haloprogin,DB00793,D01,Antifungals for dermatological use 
Halothane,DB01159,N01,Anesthetics 
Heptaminol,DB13574,C01,Cardiac therapy 
Hexachlorophene,DB00756,D08,Antiseptics and disinfectants 
Miltefosine,DB09031,P01,Antiprotozoals 
Hexafluorenium,DB00941,M03,Muscle relaxants 
Hexetidine,DB08958,A01,Stomatological preparations 
Hexetidine,DB08958,G01,Gynecological antiinfectives and antiseptics 
Hexobarbital,DB01355,N01,Anesthetics 
Hexobarbital,DB01355,N05,Psycholeptics 
Hexoprenaline,DB08957,R03,Drugs for obstructive airway diseases 
Hexoprenaline,DB08957,R03,Drugs for obstructive airway diseases 
Hexylresorcinol,DB11254,R02,Throat preparations 
Hydralazine,DB01275,C02,Antihypertensives 
Hydrochlorothiazide,DB00999,C03,Diuretics 
Hydroflumethiazide,DB00774,C03,Diuretics 
Hydroxychloroquine,DB01611,P01,Antiprotozoals 
Hydroxyurea,DB01005,L01,Antineoplastic agents
Hydroxyzine,DB00557,N05,Psycholeptics 
Ibudilast,DB05266,R03,Drugs for obstructive airway diseases 
Phenelzine,DB00780,N06,Psychoanaleptics 
Mephentermine,DB01365,C01,Cardiac therapy 
Alverine,DB01616,A03,Drugs for functional gastrointestinal disorders 
Ifenprodil,DB08954,C04,Peripheral vasodilators 
Ifosfamide,DB01181,L01,Antineoplastic agents 
Imipramine,DB00458,N06,Psychoanaleptics 
Amrinone,DB01427,C01,Cardiac therapy 
Indapamide,DB00808,C03,Diuretics 
Indomethacin,DB00328,C01,Cardiac therapy
Indomethacin,DB00328,M02,Topical products for joint and muscular pain 
Indomethacin,DB00328,S01,Ophthalmologicals 
Indomethacin,DB00328,M01,Antiinflammatory and antirheumatic products 
Indoprofen,DB08951,M01,Antiinflammatory and antirheumatic products 
Inositol niacinate,DB08949,C04,Peripheral vasodilators 
Iodamide,DB08948,V08,Contrast media 
Iodixanol,DB01249,V08,Contrast media 
Iodoquinol,DB09115,G01,Gynecological antiinfectives and antiseptics 
Iohexol,DB01362,V08,Contrast media 
Iomeprol,DB11705,V08,Contrast media 
Iopanoic Acid,DB08946,V08,Contrast media 
Iopromide,DB09156,V08,Contrast media 
Iothalamic Acid,DB09133,V08,Contrast media 
Iotrolan,DB09487,V08,Contrast media 
Iodipamide,DB04711,V08,Contrast media 
Iotroxic acid,DB08945,V08,Contrast media 
Ioversol,DB09134,V08,Contrast media 
Ioxaglic acid,DB09313,V08,Contrast media 
Ioxilan,DB09135,V08,Contrast media 
Ipriflavone,DB13618,M05,Drugs for treatment of bone diseases 
Iproniazid,DB04818,N06,Psychoanaleptics 
Irbesartan,DB01029,C09,Agents acting on the renin-angiotensin system 
Isocarboxazid,DB01247,N06,Psychoanaleptics 
Isoconazole,DB08943,D01,Antifungals for dermatological use 
Isoconazole,DB08943,G01,Gynecological antiinfectives and antiseptics 
Isoetharine,DB00221,R03,Drugs for obstructive airway diseases 
Isoetharine,DB00221,R03,Drugs for obstructive airway diseases 
Isoflurane,DB00753,N01,Anesthetics 
Isoniazid,DB00951,J04,Antimycobacterials 
Isopropamide,DB01625,A03,Drugs for functional gastrointestinal disorders 
Propyphenazone,DB13524,N02,Analgesics 
Isoproterenol,DB01064,C01,Cardiac therapy 
Isoproterenol,DB01064,R03,Drugs for obstructive airway diseases 
Isoproterenol,DB01064,R03,Drugs for obstructive airway diseases 
Isothipendyl,DB08802,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Isothipendyl,DB08802,R06,Antihistamines for systemic use 
Isradipine,DB00270,C08,Calcium channel blockers 
Itopride,DB04924,A03,Drugs for functional gastrointestinal disorders 
Ketamine,DB01221,N01,Anesthetics 
Ketanserin,DB12465,C02,Antihypertensives 
"1-[4-[4-[[2-(2,4-Dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone",DB01026,D01,Antifungals for dermatological use 
"1-[4-[4-[[2-(2,4-Dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone",DB01026,G01,Gynecological antiinfectives and antiseptics 
"1-[4-[4-[[2-(2,4-Dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone",DB01026,H02,Corticosteroids for systemic use 
"1-[4-[4-[[2-(2,4-Dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone",DB01026,J02,Antimycotics for systemic use 
Kebuzone,DB08940,M01,Antiinflammatory and antirheumatic products 
Ketoprofen,DB01009,M01,Antiinflammatory and antirheumatic products 
Ketoprofen,DB01009,M02,Topical products for joint and muscular pain 
Ketorolac,DB00465,M01,Antiinflammatory and antirheumatic products 
Ketorolac,DB00465,S01,Ophthalmologicals 
Ketotifen,DB00920,S01,Ophthalmologicals 
Ketotifen,DB00920,R06,Antihistamines for systemic use 
Labetalol,DB00598,C07,Beta blocking agents 
