primaryDomainId:ID,casNumber:string,dataSources:string[],displayName:string,domainIds:string[],drugGroups:string[],:LABEL,type:string
drugbank.DB00188,179324-69-7,drugbank|chembl|unichem,Bortezomib,drugbank.DB00188|drug_central.391|pubchem.387447,approved,Drug,Drug
drugbank.DB00189,113-18-8,drugbank|chembl|unichem,Ethchlorvynol,drugbank.DB00189|drug_central.1078|pubchem.5281077,approved,Drug,Drug
drugbank.DB00190,28860-95-9,drugbank|chembl|unichem,Carbidopa,drugbank.DB00190|drug_central.496|pubchem.28082766|pubchem.34359,approved,Drug,Drug
drugbank.DB00191,122-09-8,drugbank|chembl|unichem,Phentermine,drugbank.DB00191|drug_central.2140|pubchem.4771,approved,Drug,Drug
drugbank.DB00192,74517-78-5,drugbank|chembl|unichem,Indecainide,drugbank.DB00192|drug_central.1434|pubchem.52195,approved,Drug,Drug
drugbank.DB00193,27203-92-5,drugbank|chembl|unichem,Tramadol,drugbank.DB00193|drug_central.2711|pubchem.5523,approved,Drug,Drug
drugbank.DB00194,24356-66-9,drugbank|chembl|unichem,Vidarabine,drugbank.DB00194|drug_central.2818|pubchem.21704,approved,Drug,Drug
drugbank.DB00195,63659-18-7,drugbank|chembl|unichem,Betaxolol,drugbank.DB00195|drug_central.356|pubchem.2369,approved,Drug,Drug
drugbank.DB00196,86386-73-4,drugbank|chembl|unichem,Fluconazole,drugbank.DB00196|drug_central.1187|pubchem.3365,approved,Drug,Drug
drugbank.DB00197,97322-87-7,drugbank|chembl|unichem,Troglitazone,drugbank.DB00197|drug_central.2767|pubchem.5591,approved,Drug,Drug
drugbank.DB00198,196618-13-0,drugbank|chembl|unichem,Oseltamivir,drugbank.DB00198|drug_central.2001|pubchem.65028,approved,Drug,Drug
drugbank.DB00199,114-07-8,drugbank|chembl|unichem,Erythromycin,drugbank.DB00199|drug_central.1048|drug_central.1049|drug_central.1051|drug_central.1052|pubchem.12560,approved,Drug,Drug
drugbank.DB00200,13422-51-0,drugbank|unichem,Hydroxocobalamin,drugbank.DB00200|drug_central.4309|drug_central.4644|pubchem.44475014,,Drug,Drug
drugbank.DB00201,58-08-2,drugbank|chembl|unichem,Caffeine,drugbank.DB00201|drug_central.463|pubchem.2519,approved,Drug,Drug
drugbank.DB00202,306-40-1,drugbank|chembl|unichem,Succinylcholine,drugbank.DB00202|drug_central.2489|pubchem.5314,approved,Drug,Drug
drugbank.DB00203,139755-83-2,drugbank|chembl|unichem,Sildenafil,drugbank.DB00203|drug_central.2441|pubchem.135398744,approved,Drug,Drug
drugbank.DB00204,115256-11-6,drugbank|chembl|unichem,Dofetilide,drugbank.DB00204|drug_central.942|pubchem.71329,approved,Drug,Drug
drugbank.DB00205,58-14-0,drugbank|chembl|unichem,Pyrimethamine,drugbank.DB00205|drug_central.2332|pubchem.4993,approved,Drug,Drug
drugbank.DB00206,50-55-5,drugbank|chembl|unichem,Reserpine,drugbank.DB00206|drug_central.2370|pubchem.5770,approved,Drug,Drug
drugbank.DB00207,83905-01-5,drugbank|chembl|unichem,Azithromycin,drugbank.DB00207|drug_central.276|pubchem.447043,approved,Drug,Drug
drugbank.DB00208,55142-85-3,drugbank|chembl|unichem,Ticlopidine,drugbank.DB00208|drug_central.2657|pubchem.5472,approved,Drug,Drug
drugbank.DB00209,47608-32-2,drugbank|chembl,Trospium,drugbank.DB00209|drug_central.2776,approved,Drug,Drug
drugbank.DB00210,106685-40-9,drugbank|chembl|unichem,Adapalene,drugbank.DB00210|drug_central.87|pubchem.60164,approved,Drug,Drug
drugbank.DB00211,42794-76-3,drugbank|chembl|unichem,Midodrine,drugbank.DB00211|drug_central.1803|pubchem.4195,approved,Drug,Drug
drugbank.DB00212,126222-34-2,drugbank|unichem,Remikiren,drugbank.DB00212|drug_central.4696|pubchem.6324659,,Drug,Drug
drugbank.DB00213,102625-70-7,drugbank|chembl|unichem,Pantoprazole,drugbank.DB00213|drug_central.2054|pubchem.4679,approved,Drug,Drug
drugbank.DB00214,56211-40-6,drugbank|chembl|unichem,Torasemide,drugbank.DB00214|drug_central.2708|pubchem.51371498|pubchem.41781,approved,Drug,Drug
drugbank.DB00215,59729-33-8,drugbank|chembl|unichem,Citalopram,drugbank.DB00215|drug_central.663|pubchem.2771,approved,Drug,Drug
drugbank.DB00216,143322-58-1,drugbank|chembl|unichem,Eletriptan,drugbank.DB00216|drug_central.995|pubchem.77993,approved,Drug,Drug
drugbank.DB00217,55-73-2,drugbank|chembl|unichem,Bethanidine,drugbank.DB00217|drug_central.359|pubchem.2368,approved,Drug,Drug
drugbank.DB00218,151096-09-2,drugbank|chembl|unichem,Moxifloxacin,drugbank.DB00218|drug_central.1854|pubchem.40467042|pubchem.152946,approved,Drug,Drug
