Sample	drugstone_link	link_raw
Egress_and_Envelopment.dorsal_root_ganglia.robust_bias_aware	<a href=https://drugst.one/?id=6befa74fc107427f82ac91e15ff4b3b8>Egress_and_Envelopment.dorsal_root_ganglia.robust_bias_aware</a>	https://drugst.one/?id=6befa74fc107427f82ac91e15ff4b3b8
Egress_and_Envelopment.dorsal_root_ganglia.rwr	<a href=https://drugst.one/?id=b486cb928f1243328124afe4db8ea0ef>Egress_and_Envelopment.dorsal_root_ganglia.rwr</a>	https://drugst.one/?id=b486cb928f1243328124afe4db8ea0ef
Egress_and_Envelopment.hypothalamus.diamond	<a href=https://drugst.one/?id=c1f7b66adb9e4fec9101b7f9e418c1e8>Egress_and_Envelopment.hypothalamus.diamond</a>	https://drugst.one/?id=c1f7b66adb9e4fec9101b7f9e418c1e8
Egress_and_Envelopment.hypothalamus.domino	<a href=https://drugst.one/?id=9f0a55e6bd00496ba4cd75cea401b6a3>Egress_and_Envelopment.hypothalamus.domino</a>	https://drugst.one/?id=9f0a55e6bd00496ba4cd75cea401b6a3
Egress_and_Envelopment.hypothalamus.no_tool	<a href=https://drugst.one/?id=6c869bead7df48bbb795cc93f9f13420>Egress_and_Envelopment.hypothalamus.no_tool</a>	https://drugst.one/?id=6c869bead7df48bbb795cc93f9f13420
Egress_and_Envelopment.hypothalamus.robust	<a href=https://drugst.one/?id=7882573570fc4118ae40c6ab97bf4915>Egress_and_Envelopment.hypothalamus.robust</a>	https://drugst.one/?id=7882573570fc4118ae40c6ab97bf4915
Egress_and_Envelopment.hypothalamus.robust_bias_aware	<a href=https://drugst.one/?id=d5fd9771b10c467986c32e96a621c96b>Egress_and_Envelopment.hypothalamus.robust_bias_aware</a>	https://drugst.one/?id=d5fd9771b10c467986c32e96a621c96b
Egress_and_Envelopment.hypothalamus.rwr	<a href=https://drugst.one/?id=ff8890d7ef6b42af880aa9179e8c7c7a>Egress_and_Envelopment.hypothalamus.rwr</a>	https://drugst.one/?id=ff8890d7ef6b42af880aa9179e8c7c7a
Egress_and_Envelopment.salivary_gland.diamond	<a href=https://drugst.one/?id=e63ebc19f6bf43f78af356cb44809b4c>Egress_and_Envelopment.salivary_gland.diamond</a>	https://drugst.one/?id=e63ebc19f6bf43f78af356cb44809b4c
Egress_and_Envelopment.salivary_gland.domino	<a href=https://drugst.one/?id=b1770113120b4bf29f1f9629d4756b3b>Egress_and_Envelopment.salivary_gland.domino</a>	https://drugst.one/?id=b1770113120b4bf29f1f9629d4756b3b
Egress_and_Envelopment.salivary_gland.no_tool	<a href=https://drugst.one/?id=84fe8a6e2d5f44fb95a6fb19f1d9f80b>Egress_and_Envelopment.salivary_gland.no_tool</a>	https://drugst.one/?id=84fe8a6e2d5f44fb95a6fb19f1d9f80b
Egress_and_Envelopment.salivary_gland.robust	<a href=https://drugst.one/?id=cf81bd6922bc46cf8445aece3fb668fb>Egress_and_Envelopment.salivary_gland.robust</a>	https://drugst.one/?id=cf81bd6922bc46cf8445aece3fb668fb
Egress_and_Envelopment.salivary_gland.robust_bias_aware	<a href=https://drugst.one/?id=d3e622c1c4414a7195ce88e349f652b6>Egress_and_Envelopment.salivary_gland.robust_bias_aware</a>	https://drugst.one/?id=d3e622c1c4414a7195ce88e349f652b6
Egress_and_Envelopment.salivary_gland.rwr	<a href=https://drugst.one/?id=3592904f810640cf832dd2025c79533a>Egress_and_Envelopment.salivary_gland.rwr</a>	https://drugst.one/?id=3592904f810640cf832dd2025c79533a
Egress_and_Envelopment.uniprot_ppi.diamond	<a href=https://drugst.one/?id=60d20db223ae466ea9d6c83641a4ec4d>Egress_and_Envelopment.uniprot_ppi.diamond</a>	https://drugst.one/?id=60d20db223ae466ea9d6c83641a4ec4d
Egress_and_Envelopment.uniprot_ppi.domino	<a href=https://drugst.one/?id=709622bf35e14a09bb69fab6dc10d8b0>Egress_and_Envelopment.uniprot_ppi.domino</a>	https://drugst.one/?id=709622bf35e14a09bb69fab6dc10d8b0
Egress_and_Envelopment.uniprot_ppi.no_tool	<a href=https://drugst.one/?id=fb484977e4f440beb306e8e14507bd2b>Egress_and_Envelopment.uniprot_ppi.no_tool</a>	https://drugst.one/?id=fb484977e4f440beb306e8e14507bd2b
Egress_and_Envelopment.uniprot_ppi.robust	<a href=https://drugst.one/?id=9bb541b1528e47e79f1a570928e67c31>Egress_and_Envelopment.uniprot_ppi.robust</a>	https://drugst.one/?id=9bb541b1528e47e79f1a570928e67c31
Egress_and_Envelopment.uniprot_ppi.robust_bias_aware	<a href=https://drugst.one/?id=2ae6d205a38f4ebfab8cc618cb93bd3e>Egress_and_Envelopment.uniprot_ppi.robust_bias_aware</a>	https://drugst.one/?id=2ae6d205a38f4ebfab8cc618cb93bd3e
