Sample	drugstone_link	link_raw
Replication_and_Transcription.brain.robust_bias_aware	<a href=https://drugst.one/?id=d24f35117a07484188f27850c1b372e8>Replication_and_Transcription.brain.robust_bias_aware</a>	https://drugst.one/?id=d24f35117a07484188f27850c1b372e8
Replication_and_Transcription.brain.rwr	<a href=https://drugst.one/?id=152e5b9c69f446b0a1b9954129be97ab>Replication_and_Transcription.brain.rwr</a>	https://drugst.one/?id=152e5b9c69f446b0a1b9954129be97ab
Replication_and_Transcription.dorsal_root_ganglia.diamond	<a href=https://drugst.one/?id=06687f9c362f46e8aac5820e28ea74f7>Replication_and_Transcription.dorsal_root_ganglia.diamond</a>	https://drugst.one/?id=06687f9c362f46e8aac5820e28ea74f7
Replication_and_Transcription.dorsal_root_ganglia.domino	<a href=https://drugst.one/?id=2497a48a254448a8ad61120296673fae>Replication_and_Transcription.dorsal_root_ganglia.domino</a>	https://drugst.one/?id=2497a48a254448a8ad61120296673fae
Replication_and_Transcription.dorsal_root_ganglia.no_tool	<a href=https://drugst.one/?id=3f428e4731db4547b1ae6f879c0f9017>Replication_and_Transcription.dorsal_root_ganglia.no_tool</a>	https://drugst.one/?id=3f428e4731db4547b1ae6f879c0f9017
Replication_and_Transcription.dorsal_root_ganglia.robust	<a href=https://drugst.one/?id=1a1c7cd0e83545bf9571d54ab97a619c>Replication_and_Transcription.dorsal_root_ganglia.robust</a>	https://drugst.one/?id=1a1c7cd0e83545bf9571d54ab97a619c
Replication_and_Transcription.dorsal_root_ganglia.robust_bias_aware	<a href=https://drugst.one/?id=9e05248ff42e437783648c22546cf88f>Replication_and_Transcription.dorsal_root_ganglia.robust_bias_aware</a>	https://drugst.one/?id=9e05248ff42e437783648c22546cf88f
Replication_and_Transcription.dorsal_root_ganglia.rwr	<a href=https://drugst.one/?id=7fde925c076e463bb7b5324d1db8d933>Replication_and_Transcription.dorsal_root_ganglia.rwr</a>	https://drugst.one/?id=7fde925c076e463bb7b5324d1db8d933
Replication_and_Transcription.hypothalamus.diamond	<a href=https://drugst.one/?id=2a349d3d21d5402b906d333234d61f26>Replication_and_Transcription.hypothalamus.diamond</a>	https://drugst.one/?id=2a349d3d21d5402b906d333234d61f26
Replication_and_Transcription.hypothalamus.domino	<a href=https://drugst.one/?id=25b1b5a8fb90490eb5d2f7f2ae0bfd92>Replication_and_Transcription.hypothalamus.domino</a>	https://drugst.one/?id=25b1b5a8fb90490eb5d2f7f2ae0bfd92
Replication_and_Transcription.hypothalamus.no_tool	<a href=https://drugst.one/?id=c1003b0c7c8b44c5b8308bfa2c0c2f91>Replication_and_Transcription.hypothalamus.no_tool</a>	https://drugst.one/?id=c1003b0c7c8b44c5b8308bfa2c0c2f91
Replication_and_Transcription.hypothalamus.robust	<a href=https://drugst.one/?id=d613b3bac831415ab5060629cd7bad96>Replication_and_Transcription.hypothalamus.robust</a>	https://drugst.one/?id=d613b3bac831415ab5060629cd7bad96
Replication_and_Transcription.hypothalamus.robust_bias_aware	<a href=https://drugst.one/?id=ef6b0007082643bd8612b02bdeb57202>Replication_and_Transcription.hypothalamus.robust_bias_aware</a>	https://drugst.one/?id=ef6b0007082643bd8612b02bdeb57202
Replication_and_Transcription.hypothalamus.rwr	<a href=https://drugst.one/?id=4ca2fda2434b4882a3c588375ddd3528>Replication_and_Transcription.hypothalamus.rwr</a>	https://drugst.one/?id=4ca2fda2434b4882a3c588375ddd3528
Replication_and_Transcription.salivary_gland.diamond	<a href=https://drugst.one/?id=c282df43333049b5aded87bd5826a5c3>Replication_and_Transcription.salivary_gland.diamond</a>	https://drugst.one/?id=c282df43333049b5aded87bd5826a5c3
Replication_and_Transcription.salivary_gland.domino	<a href=https://drugst.one/?id=24147fa3d39e46cc8d1fa027b9263bc3>Replication_and_Transcription.salivary_gland.domino</a>	https://drugst.one/?id=24147fa3d39e46cc8d1fa027b9263bc3
Replication_and_Transcription.salivary_gland.no_tool	<a href=https://drugst.one/?id=597cb97ec74c4af9ba21211d08126bf3>Replication_and_Transcription.salivary_gland.no_tool</a>	https://drugst.one/?id=597cb97ec74c4af9ba21211d08126bf3
Replication_and_Transcription.salivary_gland.robust	<a href=https://drugst.one/?id=4a935a7203f74c058d022121265215dc>Replication_and_Transcription.salivary_gland.robust</a>	https://drugst.one/?id=4a935a7203f74c058d022121265215dc
Replication_and_Transcription.salivary_gland.robust_bias_aware	<a href=https://drugst.one/?id=dbdd71b60da1457891404161f3cd61e1>Replication_and_Transcription.salivary_gland.robust_bias_aware</a>	https://drugst.one/?id=dbdd71b60da1457891404161f3cd61e1
Replication_and_Transcription.salivary_gland.rwr	<a href=https://drugst.one/?id=ad6fe4eadf9346d6b111108d0b1e84e3>Replication_and_Transcription.salivary_gland.rwr</a>	https://drugst.one/?id=ad6fe4eadf9346d6b111108d0b1e84e3
Replication_and_Transcription.uniprot_ppi.diamond	<a href=https://drugst.one/?id=19dedc59981f4600a546162329dca204>Replication_and_Transcription.uniprot_ppi.diamond</a>	https://drugst.one/?id=19dedc59981f4600a546162329dca204
Replication_and_Transcription.uniprot_ppi.domino	<a href=https://drugst.one/?id=e1b75e73934249698c11aeec49dd3b39>Replication_and_Transcription.uniprot_ppi.domino</a>	https://drugst.one/?id=e1b75e73934249698c11aeec49dd3b39
Replication_and_Transcription.uniprot_ppi.no_tool	<a href=https://drugst.one/?id=5b45bf52bff440b88b55365234ade347>Replication_and_Transcription.uniprot_ppi.no_tool</a>	https://drugst.one/?id=5b45bf52bff440b88b55365234ade347
Replication_and_Transcription.uniprot_ppi.robust	<a href=https://drugst.one/?id=96b238e20c764a0990462b9c3f3043f8>Replication_and_Transcription.uniprot_ppi.robust</a>	https://drugst.one/?id=96b238e20c764a0990462b9c3f3043f8
Replication_and_Transcription.uniprot_ppi.robust_bias_aware	<a href=https://drugst.one/?id=4a756e1d092d4cbfa9de99b0335fb4c1>Replication_and_Transcription.uniprot_ppi.robust_bias_aware</a>	https://drugst.one/?id=4a756e1d092d4cbfa9de99b0335fb4c1
Replication_and_Transcription.uniprot_ppi.rwr	<a href=https://drugst.one/?id=f10ec9e4d9b347e69c6ef3b2eac0414d>Replication_and_Transcription.uniprot_ppi.rwr</a>	https://drugst.one/?id=f10ec9e4d9b347e69c6ef3b2eac0414d
