Module_id	drugstone_link	link_raw
Assembly_and_Packaging.salivary_gland.domino	<a href=https://drugst.one/?id=996e10041abe4e7187f3e7727e25ee5a>Assembly_and_Packaging.salivary_gland.domino</a>	https://drugst.one/?id=996e10041abe4e7187f3e7727e25ee5a
Assembly_and_Packaging.uniprot_ppi.robust_bias_aware	<a href=https://drugst.one/?id=35d6d3a156bc488897ad25e5e081a912>Assembly_and_Packaging.uniprot_ppi.robust_bias_aware</a>	https://drugst.one/?id=35d6d3a156bc488897ad25e5e081a912
Assembly_and_Packaging.uniprot_ppi.rwr	<a href=https://drugst.one/?id=183fea212513499cb505a58dbca9d648>Assembly_and_Packaging.uniprot_ppi.rwr</a>	https://drugst.one/?id=183fea212513499cb505a58dbca9d648
Assembly_and_Packaging.hypothalamus.rwr	<a href=https://drugst.one/?id=c148311420c5452a886b36bcd0e8edd2>Assembly_and_Packaging.hypothalamus.rwr</a>	https://drugst.one/?id=c148311420c5452a886b36bcd0e8edd2
Assembly_and_Packaging.amygdala.robust	<a href=https://drugst.one/?id=c23523622ef84c5faab1b3b1acd09576>Assembly_and_Packaging.amygdala.robust</a>	https://drugst.one/?id=c23523622ef84c5faab1b3b1acd09576
Assembly_and_Packaging.hypothalamus.domino	<a href=https://drugst.one/?id=1518ee5afa43445f9e1ef9e9d4b1b007>Assembly_and_Packaging.hypothalamus.domino</a>	https://drugst.one/?id=1518ee5afa43445f9e1ef9e9d4b1b007
Assembly_and_Packaging.brain.domino	<a href=https://drugst.one/?id=1bb697040c1840979163e2bab005a7ac>Assembly_and_Packaging.brain.domino</a>	https://drugst.one/?id=1bb697040c1840979163e2bab005a7ac
Assembly_and_Packaging.brain.robust	<a href=https://drugst.one/?id=3fbaa4ad30b44e2d930b19ed1083c393>Assembly_and_Packaging.brain.robust</a>	https://drugst.one/?id=3fbaa4ad30b44e2d930b19ed1083c393
Assembly_and_Packaging.dorsal_root_ganglia.robust	<a href=https://drugst.one/?id=24e137639fee4621a2f45e8417e6b675>Assembly_and_Packaging.dorsal_root_ganglia.robust</a>	https://drugst.one/?id=24e137639fee4621a2f45e8417e6b675
Assembly_and_Packaging.uniprot_ppi.robust	<a href=https://drugst.one/?id=692240959f0d4381bbe609fae1d4dfa7>Assembly_and_Packaging.uniprot_ppi.robust</a>	https://drugst.one/?id=692240959f0d4381bbe609fae1d4dfa7
Assembly_and_Packaging.hypothalamus.diamond	<a href=https://drugst.one/?id=b4f4c6ac62fc487a96d0a13d3f4ca0cd>Assembly_and_Packaging.hypothalamus.diamond</a>	https://drugst.one/?id=b4f4c6ac62fc487a96d0a13d3f4ca0cd
Assembly_and_Packaging.salivary_gland.no_tool	<a href=https://drugst.one/?id=d4baedb444474b3aae14b531c62cd7de>Assembly_and_Packaging.salivary_gland.no_tool</a>	https://drugst.one/?id=d4baedb444474b3aae14b531c62cd7de
Assembly_and_Packaging.hypothalamus.no_tool	<a href=https://drugst.one/?id=fa93fd06fab444f19eb06a6cbe095496>Assembly_and_Packaging.hypothalamus.no_tool</a>	https://drugst.one/?id=fa93fd06fab444f19eb06a6cbe095496
Assembly_and_Packaging.dorsal_root_ganglia.no_tool	<a href=https://drugst.one/?id=82db46e67430450baf4f11f31babc3cf>Assembly_and_Packaging.dorsal_root_ganglia.no_tool</a>	https://drugst.one/?id=82db46e67430450baf4f11f31babc3cf
Assembly_and_Packaging.uniprot_ppi.domino	<a href=https://drugst.one/?id=6bc221cc30c1479788568060cf40158c>Assembly_and_Packaging.uniprot_ppi.domino</a>	https://drugst.one/?id=6bc221cc30c1479788568060cf40158c
Assembly_and_Packaging.brain.robust_bias_aware	<a href=https://drugst.one/?id=d797c69fa2fe4288a4f6469486d84413>Assembly_and_Packaging.brain.robust_bias_aware</a>	https://drugst.one/?id=d797c69fa2fe4288a4f6469486d84413
Assembly_and_Packaging.dorsal_root_ganglia.robust_bias_aware	<a href=https://drugst.one/?id=3cf744957b234fb08217ae983bb9c4e4>Assembly_and_Packaging.dorsal_root_ganglia.robust_bias_aware</a>	https://drugst.one/?id=3cf744957b234fb08217ae983bb9c4e4
Assembly_and_Packaging.brain.no_tool	<a href=https://drugst.one/?id=690c6bddffea4747a39659fc22d3e402>Assembly_and_Packaging.brain.no_tool</a>	https://drugst.one/?id=690c6bddffea4747a39659fc22d3e402
Assembly_and_Packaging.amygdala.robust_bias_aware	<a href=https://drugst.one/?id=18c7373aeb0440f28643f10548451caf>Assembly_and_Packaging.amygdala.robust_bias_aware</a>	https://drugst.one/?id=18c7373aeb0440f28643f10548451caf
